2026-03-02 13:04:38.337 [main] INFO  se.hitract.MicroMailApplication - Starting MicroMailApplication using Java 23.0.2 with PID 12184 (C:\Users\biplo\Desktop\admission\micro-mail\target\classes started by biplo in C:\Users\biplo\Desktop\admission\micro-mail)
2026-03-02 13:04:38.339 [main] INFO  se.hitract.MicroMailApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-02 13:04:49.678 [main] INFO  se.hitract.MicroMailApplication - Started MicroMailApplication in 11.676 seconds (process running for 13.289)
2026-03-02 13:09:08.830 [main] INFO  se.hitract.MicroMailApplication - Starting MicroMailApplication using Java 23.0.2 with PID 2496 (C:\Users\biplo\Desktop\admission\micro-mail\target\classes started by biplo in C:\Users\biplo\Desktop\admission\micro-mail)
2026-03-02 13:09:08.835 [main] INFO  se.hitract.MicroMailApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-02 13:09:14.013 [main] INFO  se.hitract.MicroMailApplication - Started MicroMailApplication in 5.448 seconds (process running for 6.031)
2026-03-02 13:12:40.915 [main] INFO  se.hitract.MicroMailApplication - Starting MicroMailApplication using Java 23.0.2 with PID 20844 (C:\Users\biplo\Desktop\admission\micro-mail\target\classes started by biplo in C:\Users\biplo\Desktop\admission\micro-mail)
2026-03-02 13:12:40.916 [main] INFO  se.hitract.MicroMailApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-02 13:12:45.764 [main] INFO  se.hitract.MicroMailApplication - Started MicroMailApplication in 5.101 seconds (process running for 5.694)
2026-03-02 13:39:06.200 [main] INFO  se.hitract.MicroMailApplication - Starting MicroMailApplication using Java 23.0.2 with PID 16276 (C:\Users\biplo\Desktop\admission\micro-mail\target\classes started by biplo in C:\Users\biplo\Desktop\admission\micro-mail)
2026-03-02 13:39:06.203 [main] INFO  se.hitract.MicroMailApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-02 13:39:11.135 [main] INFO  se.hitract.MicroMailApplication - Started MicroMailApplication in 5.184 seconds (process running for 5.75)
2026-03-02 13:56:54.467 [main] INFO  se.hitract.MicroMailApplication - Starting MicroMailApplication using Java 23.0.2 with PID 19108 (C:\Users\biplo\Desktop\admission\micro-mail\target\classes started by biplo in C:\Users\biplo\Desktop\admission\micro-mail)
2026-03-02 13:56:54.467 [main] INFO  se.hitract.MicroMailApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-02 13:56:59.375 [main] INFO  se.hitract.MicroMailApplication - Started MicroMailApplication in 5.162 seconds (process running for 5.754)
2026-03-02 14:06:40.687 [main] INFO  se.hitract.MicroMailApplication - Starting MicroMailApplication using Java 23.0.2 with PID 20840 (C:\Users\biplo\Desktop\admission\micro-mail\target\classes started by biplo in C:\Users\biplo\Desktop\admission\micro-mail)
2026-03-02 14:06:40.687 [main] INFO  se.hitract.MicroMailApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-02 14:06:45.781 [main] INFO  se.hitract.MicroMailApplication - Started MicroMailApplication in 5.381 seconds (process running for 5.989)
